LSOG_class,plotname,mean_cano_ht,max_cano_ht,percentile_95th,rumple,top_rugosity,cano_cover_2,cano_cover_6,cano_cover_15,sum_live_basalarea,sum_dead_basalarea,basal_GE_40cmDBH,prop_basal_GE_40cmDBH,No_treesGE_40cmdbh,QMD_live,CWD_vol,CV_livedbh
Not LS,NE-54,11.0483,14.87,13.0598,2.3505,1.8872,0.9843,0.9804,0,56.5552,0.3534,0,0,0,20.9591,0,26.1407
Not LS,NE-55,8.2438,13.6445,10.8466,2.8526,2.184,0.9676,0.9011,0,30.6645,0.8593,0,0,0,13.5104,0,30.4821
Not LS,NE-56,7.2148,17.9203,12.608,3.0028,3.8538,0.8615,0.6624,0.0065,34.2853,2.1458,0,0,0,18.9205,1.9986,29.9811
Not LS,NE-57,5.0642,21.2375,10.3491,3.2557,3.6561,0.714,0.4785,0.0008,20.6236,1.6117,0,0,0,13.2341,20.3807,25.9062
Not LS,NE-58,7.2896,12.89,10.05,2.8338,2.1238,0.9594,0.8218,0,32.8118,0,0,0,0,15.1544,0,26.8587
Not LS,NE-59,3.3321,13.9032,7.4426,2.2773,2.3158,0.6949,0.1206,0,14.6733,0.5796,0,0,0,12.3778,27.3141,23.5924
Trans LS,NE-60,12.0776,23.3135,19.0591,5.0617,5.3114,0.9123,0.8505,0.3223,32.317,10.7949,0.3424,0.0643,8.0937,23.5862,109.6513,37.226
Not LS,NE-61,8.5699,17.26,13.5485,5.5948,3.7949,0.8921,0.8151,0.0082,30.5435,0.9095,0,0,0,13.4212,5.5517,23.8299
Not LS,NE-62,2.1588,20.18,14.244,2.3594,4.0978,0.3064,0.0861,0.0436,8.4574,2.9202,0,0,0,17.8007,30.3737,57.6909
Not LS,NE-63,7.8249,15.93,12.8,5.1148,3.6861,0.8775,0.7761,0.0009,19.7628,2.3044,0,0,0,12.955,0,24.8832
Not LS,NE-64,0.0769,4.59,0.23,1.0281,0.1739,0.002,0,0,0,0,0,,0,,0,
Not LS,NE-65,5.6716,16.2442,10.5868,3.4322,2.9991,0.8752,0.4694,0.0013,20.7242,1.6949,0,0,0,11.7875,62.5979,26.3282
Not LS,NE-66,9.4718,17.58,13.9913,5.0172,3.6061,0.9321,0.8531,0.0211,24.0889,3.3365,0,0,0,13.2798,7.5502,25.7362
Not LS,NE-67,0.0826,0.7561,0.22,1.0098,0.0718,0,0,0,0,0,0,,0,,2.9856,
Trans LS,NE-68,15.7417,27.1175,19.9548,2.6138,3.6381,0.9922,0.9717,0.7075,65.1446,2.5385,0.4287,0.0513,8.0937,19.7847,19.7392,36.4433
Trans LS,NE-69,14.6757,26.26,20.2248,3.2308,4.8613,0.9533,0.922,0.5857,59.2555,2.0814,0,0,0,22.7377,78.8828,32.3268
Not LS,NE-7,5.9398,14.15,9.8722,2.6756,2.7099,0.9047,0.535,0,35.9928,0,0,0,0,16.3268,4.8361,28.9474
Trans LS,NE-70,15.3722,27.6179,20.311,3.1163,4.3282,0.9665,0.9516,0.6484,50.6723,0.5655,0.6368,0.1006,16.1874,19.2606,25.2415,37.44
Not LS,NE-71,7.7562,24.272,18.299,5.439,6.799,0.6391,0.5407,0.1967,9.6591,3.0412,0,0,0,16.3549,62.9927,41.0434
Not LS,NE-72,12.7861,23.61,18.38,3.4002,4.6955,0.9714,0.8906,0.4078,64.7141,1.5064,0,0,0,22.2845,14.8537,34.9039
Trans LS,NE-73,15.1594,28.139,20.181,2.9991,4.3779,0.9769,0.9372,0.6483,59.967,0.3801,0.3424,0.0459,8.0937,21.3236,21.9845,28.4824
Not LS,NE-78,2.6547,14.7952,7.4534,2.7165,2.3872,0.5729,0.0835,0,7.2479,3.6931,0,0,0,11.3239,32.1009,32.6055
Not LS,NE-79,9.6199,22.6733,16.81,4.526,5.0992,0.9149,0.713,0.1524,46.2661,3.7763,0.6863,0.111,16.1874,22.3485,109.8487,46.0834
Not LS,NE-8,5.3543,14.54,9.6743,2.8679,2.7864,0.873,0.4315,0,29.3842,0.454,0,0,0,16.8395,14.8537,28.923
Not LS,NE-80,9.9748,26.3,17.6415,4.4933,5.2441,0.9501,0.7015,0.1894,21.8033,11.7546,0.7012,0.1691,16.1874,16.5014,133.2643,53.3301
Trans LS,NE-81,14.3639,26.8984,21.3383,4.3188,4.7427,0.9595,0.9443,0.4748,44.7377,4.2664,2.3917,0.395,48.5623,24.6224,60.2292,57.4156
