res,p_lsog
Number 5 Bog,0.472
Number 5 Bog,0.462
Number 5 Bog,0.215
Number 5 Bog,0.215
Number 5 Bog,0.215
Number 5 Bog,0.523
Number 5 Bog,0.42
Number 5 Bog,1
Number 5 Bog,0.523
Number 5 Bog,0.462
Number 5 Bog,0.365
Number 5 Bog,0.462
St. John Ponds,0.365
St. John Ponds,0.038
St. John Ponds,0.038
St. John Ponds,0.05
St. John Ponds,0.04
St. John Ponds,0.05
St. John Ponds,0.263
St. John Ponds,0.038
St. John Ponds,1
St. John Ponds,0.647
St. John Ponds,0.063
St. John Ponds,1
St. John Ponds,0.642
St. John Ponds,0.115
St. John Ponds,0.077
St. John Ponds,0.102
St. John Ponds,0.483
St. John Ponds,0.682
St. John Ponds,0.112
St. John Ponds,0.372
St. John Ponds,1
St. John Ponds,1
St. John Ponds,1
St. John Ponds,0.642
St. John Ponds,0.03
St. John Ponds,0.523
St. John Ponds,1
St. John Ponds,0.042
St. John Ponds,0.052
St. John Ponds,0.047
St. John Ponds,0.033
St. John Ponds,0.705
St. John Ponds,1
St. John Ponds,0.045
St. John Ponds,0.05
St. John Ponds,0.275
Wassataquoik,1
Wassataquoik,0.642
Wassataquoik,0.392
Wassataquoik,1
Wassataquoik,1
Wassataquoik,0.642
Wassataquoik,0.365
Wassataquoik,1
Wassataquoik,1
Wassataquoik,1
Wassataquoik,0.462
Wassataquoik,1
Wassataquoik,0.213
Wassataquoik,0.392
Wassataquoik,1
Wassataquoik,0.462
Wassataquoik,0.462
Salmon Brook Lake,0.462
Mt. Abraham,0.337
Bigelow,0.462
Spring River Lake,1
Baxter State Park,0.462
Baxter State Park,1
Baxter State Park,0.312
Baxter State Park,0.337
Baxter State Park,0.293
Baxter State Park,0.392
Baxter State Park,1
Baxter State Park,0.312
Baxter State Park,0.312
Baxter State Park,0.462
Baxter State Park,0.472
Baxter State Park,0.365
Baxter State Park,0.462
Baxter State Park,0.392
Baxter State Park,0.462
Kennebec Estuary Sites,1
Kennebec Estuary Sites,1
Shapleigh Woods,1
Shapleigh Woods,1
Shapleigh Woods,1
Shapleigh Woods,1
Shapleigh Woods,1
Baxter State Park,1
Big Spencer,0.275
St. John Ponds,0.263
Baxter State Park,1
Baxter State Park,1
Baxter State Park,1
Baxter State Park,0.642
Baxter State Park,0.392
Baxter State Park,0.392
Baxter State Park,1
Baxter State Park,0.392
Baxter State Park,0.462
Baxter State Park,0.42
Baxter State Park,0.392
Baxter State Park,0.392
Baxter State Park,0.215
Baxter State Park,0.293
Pine Barrens Sites,0.642
Pine Barrens Sites,0.392
Pine Barrens Sites,1
Pine Barrens Sites,1
Pine Barrens Sites,0.642
Pine Barrens Sites,0.392
Pine Barrens Sites,0.462
Pine Barrens Sites,0.392
Pine Barrens Sites,0.438
Pine Barrens Sites,0.642
Pine Barrens Sites,0.118
Pine Barrens Sites,0.42
Pine Barrens Sites,1
Pine Barrens Sites,0.392
Pine Barrens Sites,0.462
Pine Barrens Sites,0.635
Pine Barrens Sites,0.642
Pine Barrens Sites,0.365
Pine Barrens Sites,0.462
Pine Barrens Sites,0.365
Pine Barrens Sites,0.392
