CN,eval_period,LAT,LON,STDAGE,v4_class,v5_class,v5_total,potapov_rh95,hagan_value
304030698489998,2014-2018,44.23516,-69.82715,75,Not LSOG,Not LSOG,1,12,-1
304030700489998,2014-2018,46.1599,-68.6001,66,Not LSOG,Not LSOG,2,17,15
304030701489998,2014-2018,46.01111,-68.53107,65,Not LSOG,Not LSOG,1,11,15
304030702489998,2014-2018,44.62863,-69.88209,29,Not LSOG,Not LSOG,0,10,-1
304030703489998,2014-2018,43.78303,-70.78184,57,Not LSOG,Not LSOG,2,20,-1
304030704489998,2014-2018,43.50087,-70.78242,73,Not LSOG,Not LSOG,4,22,-1
304030705489998,2014-2018,43.35907,-70.89076,57,Not LSOG,Not LSOG,1,0,-1
304030706489998,2014-2018,45.90905,-69.00468,105,Transitioning LS,Not LSOG,4,15,15
304030707489998,2014-2018,44.7968,-69.72288,50,Not LSOG,Not LSOG,1,16,15
304030709489998,2014-2018,46.37002,-69.00399,38,Not LSOG,Not LSOG,2,18,1
304030710489998,2014-2018,46.57066,-69.13325,41,Not LSOG,Not LSOG,1,14,15
304030711489998,2014-2018,45.20805,-69.95357,50,Not LSOG,Not LSOG,0,5,15
304030712489998,2014-2018,46.17916,-69.76494,49,Not LSOG,Not LSOG,0,4,15
304030713489998,2014-2018,45.07093,-70.91185,40,Not LSOG,Not LSOG,2,4,1
304030714489998,2014-2018,44.298624,-71.005368,81,Not LSOG,Not LSOG,3,17,-1
304030715489998,2014-2018,44.387754,-70.920104,88,Not LSOG,Not LSOG,4,18,-1
304030716489998,2014-2018,44.336288,-70.875526,59,Not LSOG,Not LSOG,4,19,-1
352683556489998,2014-2018,44.34472,-69.50708,20,Not LSOG,Not LSOG,0,16,-1
375823083489998,2014-2018,43.78565,-70.313,85,Transitioning LS,Not LSOG,4,0,-1
375823084489998,2014-2018,43.96371,-70.5588,73,Not LSOG,Not LSOG,2,22,-1
375823085489998,2014-2018,43.59944,-70.65955,64,Not LSOG,Not LSOG,3,20,-1
375823086489998,2014-2018,46.01202,-68.88876,66,Not LSOG,Not LSOG,2,12,15
375823087489998,2014-2018,45.23954,-69.77591,95,Not LSOG,Not LSOG,2,11,15
375823089489998,2014-2018,45.16335,-69.00569,70,Not LSOG,Not LSOG,2,20,15
375823090489998,2014-2018,45.09566,-69.07129,73,Transitioning LS,Transitioning LS,5,16,15
375823092489998,2014-2018,44.25488,-70.45233,70,Not LSOG,Not LSOG,3,17,-1
375823094489998,2014-2018,44.31849,-70.86647,97,Transitioning LS,Transitioning LS,5,19,-1
375823096489998,2014-2018,44.19777,-69.10233,71,Not LSOG,Not LSOG,1,0,-1
375823097489998,2014-2018,43.968272,-69.403113,95,Not LSOG,Not LSOG,1,NA,-1
375823098489998,2014-2018,44.71196,-68.99521,72,Transitioning LS,Transitioning LS,5,16,15
375823099489998,2014-2018,44.49541,-69.14936,115,Transitioning LS,Transitioning LS,5,20,-1
375823100489998,2014-2018,45.39639,-70.18563,57,Not LSOG,Not LSOG,1,16,15
375823101489998,2014-2018,45.02598,-70.42357,38,Not LSOG,Not LSOG,2,14,15
375823104489998,2014-2018,44.54957,-70.89243,102,Transitioning LS,Transitioning LS,5,15,-1
375823105489998,2014-2018,46.90982,-69.31959,29,Not LSOG,Not LSOG,0,11,15
375823106489998,2014-2018,45.88441,-69.66482,36,Not LSOG,Not LSOG,2,7,15
375823107489998,2014-2018,46.4535,-68.10553,45,Not LSOG,Not LSOG,0,17,15
375823108489998,2014-2018,45.87057,-68.41858,31,Not LSOG,Not LSOG,0,0,15
375823109489998,2014-2018,43.91534,-70.06221,82,Not LSOG,Not LSOG,4,21,-1
375823110489998,2014-2018,47.12604,-67.89976,55,Not LSOG,Not LSOG,2,21,-1
375823111489998,2014-2018,46.7064,-68.26941,48,Not LSOG,Not LSOG,1,15,15
375823112489998,2014-2018,46.40018,-68.34653,44,Not LSOG,Not LSOG,1,11,1
375823113489998,2014-2018,46.13399,-68.60126,42,Not LSOG,Not LSOG,1,13,15
375823114489998,2014-2018,45.57342,-69.06195,87,Not LSOG,Not LSOG,3,8,15
375823116489998,2014-2018,44.02404,-69.18272,71,Not LSOG,Not LSOG,0,13,-1
375823117489998,2014-2018,45.67179,-68.19866,87,Not LSOG,Not LSOG,3,13,15
375823118489998,2014-2018,44.79616,-68.93698,53,Not LSOG,Not LSOG,0,0,15
375823119489998,2014-2018,44.20227,-69.43225,53,Transitioning LS,Transitioning LS,6,21,-1
375823120489998,2014-2018,43.97461,-69.75875,55,Not LSOG,Not LSOG,1,22,-1
375823121489998,2014-2018,45.85836,-69.40354,50,Not LSOG,Not LSOG,1,13,15
375823122489998,2014-2018,45.00216,-70.13144,60,Not LSOG,Not LSOG,1,20,15
375823123489998,2014-2018,44.16436,-70.80379,70,Not LSOG,Not LSOG,4,18,-1
375823124489998,2014-2018,47.03433,-68.38314,70,Not LSOG,Not LSOG,2,NA,15
375823125489998,2014-2018,47.12601,-68.51521,58,Transitioning LS,Transitioning LS,5,21,-1
375823126489998,2014-2018,46.74837,-68.63992,103,Transitioning LS,Transitioning LS,6,21,15
375823127489998,2014-2018,46.55385,-69.01933,137,Not LSOG,Not LSOG,4,20,2
375823128489998,2014-2018,45.11288,-70.26393,63,Not LSOG,Not LSOG,1,18,15
375823129489998,2014-2018,44.74364,-69.47899,60,Not LSOG,Not LSOG,2,12,15
375823130489998,2014-2018,44.71338,-69.7703,58,Not LSOG,Not LSOG,4,21,15
375823132489998,2014-2018,43.85081,-70.51157,63,Not LSOG,Not LSOG,1,19,-1
375823134489998,2014-2018,43.30208,-70.85986,85,Not LSOG,Not LSOG,3,3,-1
375823135489998,2014-2018,47.13468,-68.08262,20,Not LSOG,Not LSOG,0,12,-1
375823136489998,2014-2018,46.15375,-68.75257,53,Not LSOG,Not LSOG,3,18,15
375823137489998,2014-2018,46.17135,-68.93648,119,Transitioning LS,Transitioning LS,5,15,15
375823138489998,2014-2018,44.69426,-67.83945,66,Not LSOG,Not LSOG,0,3,-1
375823139489998,2014-2018,44.60571,-68.3013,72,Not LSOG,Not LSOG,3,11,-1
375823140489998,2014-2018,44.30869,-68.36973,130,LS,LS,7,14,-1
375823141489998,2014-2018,44.44741,-68.68821,35,Not LSOG,Not LSOG,1,13,-1
375823142489998,2014-2018,43.96318,-69.22922,29,Not LSOG,Not LSOG,1,7,-1
375823143489998,2014-2018,44.76765,-67.19312,42,Not LSOG,Not LSOG,1,9,-1
375823144489998,2014-2018,46.265067,-69.671793,36,Not LSOG,Not LSOG,1,19,15
375823145489998,2014-2018,46.19182,-69.72874,88,Transitioning LS,Not LSOG,4,7,3
375823146489998,2014-2018,46.10633,-69.61192,94,Transitioning LS,Not LSOG,4,14,15
375823147489998,2014-2018,46.04139,-69.67044,23,Not LSOG,Not LSOG,3,5,15
375823148489998,2014-2018,46.13344,-69.76788,40,Not LSOG,Not LSOG,0,17,15
375823149489998,2014-2018,46.05687,-69.84287,45,Not LSOG,Not LSOG,0,15,15
375823150489998,2014-2018,45.90829,-69.95879,36,Not LSOG,Not LSOG,1,14,15
375823151489998,2014-2018,45.92663,-69.77951,37,Not LSOG,Not LSOG,3,19,15
375823152489998,2014-2018,45.88856,-69.79288,88,LS,Transitioning LS,6,16,15
375823153489998,2014-2018,45.81482,-69.84766,28,Not LSOG,Not LSOG,0,16,15
375823154489998,2014-2018,46.00005,-69.92225,33,Not LSOG,Not LSOG,3,11,15
375823155489998,2014-2018,45.73589,-69.94197,33,Not LSOG,Not LSOG,0,0,15
375823157489998,2014-2018,45.78699,-70.07889,84,Not LSOG,Not LSOG,3,15,15
375823158489998,2014-2018,44.4996,-69.881,35,Not LSOG,Not LSOG,0,16,-1
375823159489998,2014-2018,44.36284,-70.07388,69,Not LSOG,Not LSOG,3,20,-1
375823161489998,2014-2018,44.21372,-69.98962,71,Not LSOG,Not LSOG,1,22,-1
375823162489998,2014-2018,44.30705,-70.12284,60,Not LSOG,Not LSOG,3,20,-1
375823163489998,2014-2018,44.39462,-70.23573,67,Not LSOG,Not LSOG,3,18,-1
375823164489998,2014-2018,44.21931,-70.15,71,Not LSOG,Not LSOG,3,10,-1
375823165489998,2014-2018,44.16325,-70.22967,64,Not LSOG,Not LSOG,2,0,-1
375823166489998,2014-2018,44.04633,-70.11403,88,Transitioning LS,Transitioning LS,5,4,-1
375823167489998,2014-2018,43.9873,-70.20527,71,Transitioning LS,Not LSOG,4,17,-1
375823168489998,2014-2018,44.09038,-70.27821,90,Not LSOG,Not LSOG,3,19,-1
375823169489998,2014-2018,44.18539,-70.41902,63,Not LSOG,Not LSOG,4,23,-1
375823170489998,2014-2018,44.02649,-70.3345,53,Not LSOG,Not LSOG,2,21,-1
375823171489998,2014-2018,43.95307,-70.39467,67,Not LSOG,Not LSOG,2,18,-1
375823173489998,2014-2018,43.27221,-70.71284,79,Not LSOG,Not LSOG,3,6,-1
375823175489998,2014-2018,44.96462,-69.17834,50,Not LSOG,Not LSOG,3,0,15
375823176489998,2014-2018,44.98285,-69.387,76,Not LSOG,Not LSOG,4,19,15
375823177489998,2014-2018,44.85267,-69.30866,80,Not LSOG,Not LSOG,3,6,15
375823178489998,2014-2018,44.75503,-69.35411,63,Not LSOG,Not LSOG,0,14,15
375823179489998,2014-2018,44.77605,-69.54405,61,Transitioning LS,Not LSOG,4,12,15
375823180489998,2014-2018,44.68186,-69.43126,77,Not LSOG,Not LSOG,2,11,-1
375823181489998,2014-2018,44.60504,-69.47155,58,Not LSOG,Not LSOG,1,15,-1
375823183489998,2014-2018,46.3134,-67.78629,0,Not LSOG,Not LSOG,0,17,-1
375823185489998,2014-2018,43.73676,-70.55294,73,Not LSOG,Not LSOG,2,8,-1
375823186489998,2014-2018,43.58328,-70.47655,58,Not LSOG,Not LSOG,1,0,-1
375823187489998,2014-2018,43.67069,-70.60236,74,Not LSOG,Not LSOG,3,21,-1
375823188489998,2014-2018,43.75421,-70.72516,61,Not LSOG,Not LSOG,1,17,-1
375823189489998,2014-2018,43.52451,-70.71091,63,Not LSOG,Not LSOG,2,16,-1
375823191489998,2014-2018,43.44852,-70.77132,75,Not LSOG,Not LSOG,1,0,-1
375823193489998,2014-2018,43.43454,-70.90855,70,Not LSOG,Not LSOG,4,19,-1
375823194489998,2014-2018,43.38441,-70.82266,60,Not LSOG,Not LSOG,1,0,-1
375823195489998,2014-2018,45.65564,-69.20027,81,Not LSOG,Not LSOG,1,9,15
375823196489998,2014-2018,45.50394,-69.12245,101,Transitioning LS,Not LSOG,4,9,15
375823197489998,2014-2018,45.4405,-69.17912,72,Transitioning LS,Not LSOG,4,13,15
375823198489998,2014-2018,45.34165,-69.06317,23,Not LSOG,Not LSOG,1,21,15
375823199489998,2014-2018,45.16995,-69.11531,77,Not LSOG,Not LSOG,1,14,15
375823200489998,2014-2018,45.35268,-69.25647,42,Not LSOG,Not LSOG,2,17,15
375823201489998,2014-2018,45.46056,-69.36021,78,Not LSOG,Not LSOG,2,14,15
375823202489998,2014-2018,45.19417,-69.34567,61,Transitioning LS,Transitioning LS,5,18,15
375823203489998,2014-2018,45.22289,-69.18417,78,Not LSOG,Not LSOG,2,21,15
375823204489998,2014-2018,45.04617,-69.31529,77,Not LSOG,Not LSOG,3,10,15
375823205489998,2014-2018,45.12585,-69.41477,75,Transitioning LS,Transitioning LS,5,18,15
375823206489998,2014-2018,45.16927,-69.60281,60,Not LSOG,Not LSOG,3,20,15
375823207489998,2014-2018,45.08281,-69.51276,73,Not LSOG,Not LSOG,4,22,15
375823209489998,2014-2018,46.16935,-67.932,25,Not LSOG,Not LSOG,0,8,15
375823210489998,2014-2018,46.0832,-67.83225,45,Not LSOG,Not LSOG,2,0,-1
375823211489998,2014-2018,46.03186,-67.89262,167,Transitioning LS,Transitioning LS,5,13,-1
375823213489998,2014-2018,45.95913,-67.9347,81,Not LSOG,Not LSOG,2,7,15
375823214489998,2014-2018,46.06086,-68.05087,50,Not LSOG,Not LSOG,2,19,15
375823215489998,2014-2018,45.98684,-68.11332,110,Not LSOG,Not LSOG,4,18,15
375823216489998,2014-2018,45.8103,-67.91465,48,Not LSOG,Not LSOG,2,0,-1
375823217489998,2014-2018,45.81148,-68.05434,52,Not LSOG,Not LSOG,2,17,15
375823218489998,2014-2018,45.89737,-68.2305,33,Not LSOG,Not LSOG,0,17,15
375823219489998,2014-2018,45.7686,-68.12481,30,Not LSOG,Not LSOG,2,5,15
375823220489998,2014-2018,45.83514,-68.23147,57,Not LSOG,Not LSOG,1,21,15
375823221489998,2014-2018,45.78849,-68.30609,76,Not LSOG,Not LSOG,4,18,15
375823223489998,2014-2018,44.29813,-69.06043,124,LS,Transitioning LS,6,12,-1
375823224489998,2014-2018,44.25503,-69.05536,85,LS,Transitioning LS,6,17,-1
375823225489998,2014-2018,44.25435,-69.17886,71,Not LSOG,Not LSOG,0,3,-1
375823228489998,2014-2018,43.93421,-69.52369,73,Transitioning LS,Not LSOG,4,0,-1
375823229489998,2014-2018,44.93531,-67.86389,71,Transitioning LS,Not LSOG,4,0,-1
375823232489998,2014-2018,46.40813,-67.91559,66,Not LSOG,Not LSOG,1,9,15
375823233489998,2014-2018,46.34433,-67.97624,67,Not LSOG,Not LSOG,1,18,15
375823234489998,2014-2018,46.29364,-68.02737,90,Transitioning LS,Transitioning LS,5,4,15
375823235489998,2014-2018,46.10496,-68.04749,89,Not LSOG,Not LSOG,4,19,15
375823236489998,2014-2018,46.24395,-68.29025,36,Not LSOG,Not LSOG,3,13,15
375823237489998,2014-2018,46.1471,-68.29221,30,Not LSOG,Not LSOG,2,0,15
375823238489998,2014-2018,45.80689,-67.86405,146,Transitioning LS,Transitioning LS,5,17,-1
375823239489998,2014-2018,45.77639,-67.94911,93,Not LSOG,Not LSOG,3,11,15
375823240489998,2014-2018,45.58088,-67.94371,51,Not LSOG,Not LSOG,2,15,15
375823241489998,2014-2018,45.4952,-67.94738,31,Not LSOG,Not LSOG,1,5,15
375823242489998,2014-2018,45.64871,-68.00503,25,Not LSOG,Not LSOG,1,21,15
375823243489998,2014-2018,45.58788,-68.05439,102,Not LSOG,Not LSOG,3,15,15
375823244489998,2014-2018,45.51395,-68.00372,115,Not LSOG,Not LSOG,1,13,15
375823245489998,2014-2018,45.49619,-68.16922,127,LS,Transitioning LS,6,15,15
375823246489998,2014-2018,44.84897,-68.30849,127,Not LSOG,Not LSOG,2,11,15
375823247489998,2014-2018,44.60114,-68.17365,75,Not LSOG,Not LSOG,0,0,-1
375823249489998,2014-2018,44.77047,-68.36816,52,Transitioning LS,Not LSOG,4,15,15
375823250489998,2014-2018,44.71128,-68.38831,71,Not LSOG,Not LSOG,1,20,15
375823254489998,2014-2018,44.55682,-68.56394,77,Not LSOG,Not LSOG,2,7,-1
375823256489998,2014-2018,44.38316,-68.72828,73,Transitioning LS,Not LSOG,4,14,-1
375823257489998,2014-2018,44.36202,-68.72825,78,Not LSOG,Not LSOG,1,13,-1
375823259489998,2014-2018,44.65308,-69.23975,83,Not LSOG,Not LSOG,3,20,-1
375823260489998,2014-2018,44.58564,-69.28951,68,Not LSOG,Not LSOG,2,18,-1
375823262489998,2014-2018,44.41869,-69.24734,76,Transitioning LS,Not LSOG,4,17,-1
375823263489998,2014-2018,44.34135,-69.32396,32,Not LSOG,Not LSOG,3,20,-1
375823264489998,2014-2018,44.41436,-69.35835,80,Not LSOG,Not LSOG,1,15,-1
375823265489998,2014-2018,44.28742,-69.36135,64,Not LSOG,Not LSOG,2,21,-1
375823266489998,2014-2018,44.37395,-69.47544,50,Not LSOG,Not LSOG,1,3,-1
375823267489998,2014-2018,44.43012,-69.47414,96,Transitioning LS,Not LSOG,4,3,-1
375823268489998,2014-2018,44.15095,-69.48331,71,Not LSOG,Not LSOG,3,4,-1
375823270489998,2014-2018,44.01747,-69.77947,100,Transitioning LS,Transitioning LS,5,19,-1
375823273489998,2014-2018,43.88734,-69.86624,83,LS,LS,8,21,-1
375823274489998,2014-2018,43.79409,-69.75613,68,Not LSOG,Not LSOG,3,0,-1
375823275489998,2014-2018,43.82164,-69.95501,80,Not LSOG,Not LSOG,3,13,-1
375823276489998,2014-2018,46.62259,-68.24622,47,Not LSOG,Not LSOG,0,0,15
375823277489998,2014-2018,45.76603,-68.36018,37,Not LSOG,Not LSOG,0,15,15
375823278489998,2014-2018,45.58442,-68.29553,55,Not LSOG,Not LSOG,2,15,15
375823279489998,2014-2018,45.64236,-68.40888,94,Not LSOG,Not LSOG,3,10,15
375823280489998,2014-2018,45.56166,-68.47447,76,Not LSOG,Not LSOG,2,19,15
375823281489998,2014-2018,45.48915,-68.53556,43,Not LSOG,Not LSOG,1,17,15
375823282489998,2014-2018,45.4717,-68.43055,98,Transitioning LS,Not LSOG,4,14,15
375823283489998,2014-2018,45.47573,-68.36177,24,Not LSOG,Not LSOG,0,16,15
375823284489998,2014-2018,45.33736,-68.4675,43,Not LSOG,Not LSOG,2,11,15
375823285489998,2014-2018,45.30227,-68.6919,12,Not LSOG,Not LSOG,0,15,15
375823286489998,2014-2018,45.34436,-68.6668,80,Not LSOG,Not LSOG,2,16,15
375823288489998,2014-2018,45.19668,-68.60219,99,Not LSOG,Not LSOG,3,15,15
375823289489998,2014-2018,45.41868,-68.59712,88,Transitioning LS,Transitioning LS,5,19,15
375823290489998,2014-2018,45.39711,-67.8327,56,Not LSOG,Not LSOG,3,0,-1
375823291489998,2014-2018,45.33312,-67.88922,77,Not LSOG,Not LSOG,0,11,-1
375823292489998,2014-2018,44.13934,-68.89501,92,Not LSOG,Not LSOG,1,0,-1
375823294489998,2014-2018,45.56917,-67.46088,145,LS,Transitioning LS,6,12,-1
375823295489998,2014-2018,45.5069,-67.53064,32,Not LSOG,Not LSOG,2,12,-1
375823296489998,2014-2018,45.59233,-67.67321,36,Not LSOG,Not LSOG,0,14,-1
375823297489998,2014-2018,45.52174,-67.72622,40,Not LSOG,Not LSOG,0,10,-1
375823298489998,2014-2018,45.60851,-67.81293,87,Not LSOG,Not LSOG,3,20,-1
375823299489998,2014-2018,45.46384,-67.76938,72,Not LSOG,Not LSOG,1,10,-1
375823300489998,2014-2018,45.36257,-67.64327,96,LS,Transitioning LS,6,17,-1
375823301489998,2014-2018,45.31424,-67.70193,47,Not LSOG,Not LSOG,0,15,-1
375823302489998,2014-2018,47.00546,-69.41242,15,Not LSOG,Not LSOG,1,20,15
375823303489998,2014-2018,46.93098,-69.51695,87,Not LSOG,Not LSOG,3,19,15
375823304489998,2014-2018,47.02888,-69.605950000000007,55,Not LSOG,Not LSOG,1,10,1
375823305489998,2014-2018,46.96859,-69.67165,27,Not LSOG,Not LSOG,1,12,1
375823306489998,2014-2018,46.8746,-69.74182,50,Not LSOG,Not LSOG,0,16,15
375823307489998,2014-2018,46.78053,-69.58857,84,Transitioning LS,Transitioning LS,5,14,15
375823308489998,2014-2018,46.72699,-69.66319,40,Not LSOG,Not LSOG,4,19,1
375823309489998,2014-2018,46.82538,-69.79444,37,Not LSOG,Not LSOG,0,4,15
375823310489998,2014-2018,46.78218,-69.78201,35,Not LSOG,Not LSOG,1,12,15
375823311489998,2014-2018,46.74375,-69.84495,77,Not LSOG,Not LSOG,1,6,15
375823312489998,2014-2018,46.69208,-69.89413,33,Not LSOG,Not LSOG,1,13,15
375823313489998,2014-2018,46.58974,-69.78296,73,Not LSOG,Not LSOG,0,8,1
375823314489998,2014-2018,46.51897,-69.84215,120,Transitioning LS,Not LSOG,4,9,15
375823315489998,2014-2018,46.59444,-69.95658,45,Not LSOG,Not LSOG,0,10,15
375823316489998,2014-2018,46.37486,-69.97429,32,Not LSOG,Not LSOG,1,14,15
375823317489998,2014-2018,46.31056,-70.02895,64,Not LSOG,Not LSOG,2,8,15
375823318489998,2014-2018,47.1068,-69.22369,89,Not LSOG,Not LSOG,3,13,-1
375823319489998,2014-2018,44.10508,-69.67293,48,Not LSOG,Not LSOG,2,15,-1
375823320489998,2014-2018,44.00543,-69.57662,55,Not LSOG,Not LSOG,2,14,-1
375823321489998,2014-2018,43.9623,-69.68525,70,Not LSOG,Not LSOG,3,16,-1
375823322489998,2014-2018,45.35163,-68.07235,82,LS,Transitioning LS,6,14,15
375823324489998,2014-2018,45.16313,-67.82606,59,Not LSOG,Not LSOG,2,12,-1
375823325489998,2014-2018,45.06556,-67.83003,161,Transitioning LS,Transitioning LS,6,19,-1
375823326489998,2014-2018,45.18309,-68.0126,99,Transitioning LS,Transitioning LS,5,15,15
375823327489998,2014-2018,45.10949,-68.08691,71,Not LSOG,Not LSOG,0,15,15
375823328489998,2014-2018,45.21949,-68.15842,86,Not LSOG,Not LSOG,1,0,15
375823330489998,2014-2018,44.95342,-68.01004,88,Not LSOG,Not LSOG,1,5,15
375823331489998,2014-2018,44.88527,-68.06323,33,Not LSOG,Not LSOG,2,10,15
375823332489998,2014-2018,44.97953,-68.17885,31,Not LSOG,Not LSOG,0,3,15
375823333489998,2014-2018,44.88843,-68.17065,95,Not LSOG,Not LSOG,3,8,15
375823334489998,2014-2018,44.88615,-68.33486,93,Transitioning LS,Transitioning LS,5,9,15
375823336489998,2014-2018,44.26219,-68.36063,72,Not LSOG,Not LSOG,3,15,-1
375823338489998,2014-2018,44.18557,-68.65713,64,Not LSOG,Not LSOG,0,11,-1
375823339489998,2014-2018,47.15186,-69.28231,83,Not LSOG,Not LSOG,2,6,-1
375823340489998,2014-2018,47.25792,-69.4058,68,Not LSOG,Not LSOG,2,17,-1
375823341489998,2014-2018,47.20067,-69.41991,35,Not LSOG,Not LSOG,2,13,-1
375823342489998,2014-2018,47.18405,-69.49099,83,Transitioning LS,Transitioning LS,5,19,-1
375823343489998,2014-2018,47.10146,-69.55954,83,Transitioning LS,Not LSOG,4,5,1
375823344489998,2014-2018,47.08706,-69.37077,63,Not LSOG,Not LSOG,2,12,15
375823345489998,2014-2018,46.89983,-69.37224,52,Not LSOG,Not LSOG,0,13,15
375823346489998,2014-2018,46.87484,-69.52416,55,Not LSOG,Not LSOG,2,19,15
375823347489998,2014-2018,46.63708,-69.43103,98,Transitioning LS,Not LSOG,4,13,15
375823348489998,2014-2018,46.63401,-69.5514,66,Not LSOG,Not LSOG,1,15,15
375823349489998,2014-2018,47.23346,-68.62101,35,Not LSOG,Not LSOG,1,19,-1
375823350489998,2014-2018,47.21658,-68.67714,87,Transitioning LS,Transitioning LS,5,18,-1
375823351489998,2014-2018,47.15056,-68.67043,107,Transitioning LS,Transitioning LS,5,20,-1
375823352489998,2014-2018,47.08824,-68.77577,91,Not LSOG,Not LSOG,3,17,15
375823353489998,2014-2018,47.17662,-68.87907,48,Not LSOG,Not LSOG,1,8,-1
375823354489998,2014-2018,47.01234,-68.82531,69,Not LSOG,Not LSOG,2,19,15
375823355489998,2014-2018,47.09905,-68.94218,35,Not LSOG,Not LSOG,2,15,15
375823356489998,2014-2018,46.87347,-69.17378,25,Not LSOG,Not LSOG,2,19,15
375823357489998,2014-2018,46.92364,-68.87102,89,Transitioning LS,Not LSOG,4,9,15
375823358489998,2014-2018,46.86641,-68.9498,40,Not LSOG,Not LSOG,1,15,15
375823359489998,2014-2018,46.96744,-69.06041,47,Not LSOG,Not LSOG,3,13,15
375823360489998,2014-2018,46.80065,-68.98962,106,Not LSOG,Not LSOG,4,19,15
375823361489998,2014-2018,46.89803,-69.11525,30,Not LSOG,Not LSOG,0,4,15
375823362489998,2014-2018,46.60062,-69.19304,55,Not LSOG,Not LSOG,2,14,15
375823363489998,2014-2018,44.38858,-70.81745,60,Not LSOG,Not LSOG,1,10,-1
375823364489998,2014-2018,44.23057,-70.89292,63,Not LSOG,Not LSOG,3,18,-1
375823365489998,2014-2018,44.08611,-70.85819,30,Not LSOG,Not LSOG,1,11,-1
375823367489998,2014-2018,44.63828,-71.01475,35,Not LSOG,Not LSOG,1,18,-1
375823368489998,2014-2018,44.48103,-70.92898,102,Transitioning LS,Transitioning LS,5,22,-1
375823369489998,2014-2018,44.39169,-70.99557,176,LS,LS,7,6,-1
375823370489998,2014-2018,44.89943,-70.44213,30,Not LSOG,Not LSOG,1,18,15
375823371489998,2014-2018,44.73232,-70.38177,90,Transitioning LS,Transitioning LS,5,11,15
375823372489998,2014-2018,44.65366,-70.42779,54,Not LSOG,Not LSOG,1,16,-1
375823373489998,2014-2018,44.93796,-70.28901,131,Transitioning LS,Transitioning LS,5,20,15
375823374489998,2014-2018,44.66086,-70.58341,74,Transitioning LS,Transitioning LS,6,18,-1
375823375489998,2014-2018,44.46793,-70.61279,59,Not LSOG,Not LSOG,2,23,-1
375823376489998,2014-2018,44.47677,-70.582,73,Not LSOG,Not LSOG,1,3,-1
375823377489998,2014-2018,44.59489,-70.6362,92,Not LSOG,Not LSOG,4,20,-1
375823379489998,2014-2018,44.45491,-70.75084,29,Not LSOG,Not LSOG,2,20,-1
375823380489998,2014-2018,44.29575,-70.6983,95,Not LSOG,Not LSOG,4,21,-1
375823381489998,2014-2018,44.22419,-70.74315,80,LS,LS,7,20,-1
375823382489998,2014-2018,46.46247,-68.82858,130,LS,LS,7,18,1
375823383489998,2014-2018,46.3351,-69.00406,41,Not LSOG,Not LSOG,1,16,2
375823384489998,2014-2018,46.49125,-69.06277,84,Transitioning LS,Not LSOG,4,12,15
375823385489998,2014-2018,46.426177,-69.112341,60,Not LSOG,Not LSOG,2,18,1
375823386489998,2014-2018,46.37607,-69.18813,35,Not LSOG,Not LSOG,1,17,2
375823387489998,2014-2018,46.19627,-69.1305,55,Not LSOG,Not LSOG,2,6,15
375823388489998,2014-2018,46.13199,-69.18858,120,LS,LS,7,12,15
375823390489998,2014-2018,46.14926,-69.3711,92,Not LSOG,Not LSOG,3,13,15
375823391489998,2014-2018,45.9822,-69.28377,28,Not LSOG,Not LSOG,0,4,15
375823392489998,2014-2018,45.38515,-70.79489,85,Transitioning LS,Not LSOG,4,4,15
375823393489998,2014-2018,45.2364,-70.71722,88,Transitioning LS,Not LSOG,4,14,15
375823395489998,2014-2018,45.22474,-70.86291,71,Not LSOG,Not LSOG,2,0,15
375823396489998,2014-2018,45.1709,-70.96003,77,Not LSOG,Not LSOG,2,6,15
375823397489998,2014-2018,44.95568,-70.92449,62,Not LSOG,Not LSOG,3,23,15
375823398489998,2014-2018,45.02067,-70.89772,65,Not LSOG,Not LSOG,3,22,2
375823399489998,2014-2018,45.35583,-69.82731,29,Not LSOG,Not LSOG,3,18,15
375823400489998,2014-2018,45.26829,-69.88812,83,Transitioning LS,Transitioning LS,6,21,15
375823401489998,2014-2018,45.38873,-70.01822,76,Transitioning LS,Not LSOG,4,15,15
375823402489998,2014-2018,45.22044,-70.1281,93,Not LSOG,Not LSOG,3,14,15
375823403489998,2014-2018,45.11926,-70.05874,40,Not LSOG,Not LSOG,1,11,15
375823404489998,2014-2018,45.07013,-70.05548,45,Not LSOG,Not LSOG,0,5,15
375823406489998,2014-2018,44.91802,-70.17949,45,Not LSOG,Not LSOG,1,23,15
375823407489998,2014-2018,44.86262,-70.23585,60,Not LSOG,Not LSOG,4,18,15
375823408489998,2014-2018,45.00063,-70.25219,89,Not LSOG,Not LSOG,1,15,15
375823409489998,2014-2018,45.67552,-69.95959,35,Not LSOG,Not LSOG,2,19,15
375823410489998,2014-2018,45.62857,-70.0859,25,Not LSOG,Not LSOG,0,16,15
375823411489998,2014-2018,45.70653,-70.14033,91,Not LSOG,Not LSOG,4,19,15
375823412489998,2014-2018,45.53456,-70.07727,20,Not LSOG,Not LSOG,0,16,15
375823413489998,2014-2018,45.62525,-70.19295,28,Not LSOG,Not LSOG,2,17,15
375823414489998,2014-2018,45.52209,-70.14058,60,Not LSOG,Not LSOG,2,17,15
375823415489998,2014-2018,45.44679,-70.13664,10,Not LSOG,Not LSOG,2,20,15
