CN,eval_period,LAT,LON,v4_class,v5_class,silc_val,hagan_val
509642060126144,2019-2023,44.43332,-68.96937,Not LSOG,Not LSOG,,
509642061126144,2019-2023,44.37374,-69.00124,Transitioning LS,Transitioning LS,,
509642062126144,2019-2023,44.3315,-69.12525,Not LSOG,Not LSOG,,
509642063126144,2019-2023,44.42173,-69.13169,Transitioning LS,Not LSOG,,
509642065126144,2019-2023,44.12427,-69.16975,Not LSOG,Not LSOG,,
509642066126144,2019-2023,44.07625,-69.0576,Transitioning LS,Transitioning LS,,
509642068126144,2019-2023,44.10074,-69.2383,Transitioning LS,Not LSOG,,
509642069126144,2019-2023,44.19612,-69.35685,Not LSOG,Not LSOG,,
509642070126144,2019-2023,44.05677,-69.23601,Not LSOG,Not LSOG,,
509642071126144,2019-2023,44.02668,-69.29658,Not LSOG,Not LSOG,,
509642073126144,2019-2023,43.98818,-69.51656,Not LSOG,Not LSOG,,
509642074126144,2019-2023,46.47353,-67.83011,Not LSOG,Not LSOG,,
509642076126144,2019-2023,46.17085,-67.85595,Not LSOG,Not LSOG,,
509642077126144,2019-2023,46.26196,-67.99806,Not LSOG,Not LSOG,,1
509642078126144,2019-2023,46.0967,-67.91861,Transitioning LS,Not LSOG,,
509642079126144,2019-2023,45.99459,-67.84537,Not LSOG,Not LSOG,,1
509642080126144,2019-2023,45.95135,-67.85142,Not LSOG,Not LSOG,,
509642081126144,2019-2023,46.03014,-67.99657,Not LSOG,Not LSOG,,
509642082126144,2019-2023,45.96682,-68.04375,Not LSOG,Not LSOG,,1
509642083126144,2019-2023,46.0537,-68.17363,Not LSOG,Not LSOG,,
509642084126144,2019-2023,45.86872,-68.17836,Not LSOG,Not LSOG,,1
509642085126144,2019-2023,45.79221,-67.99894,Not LSOG,Not LSOG,,
509642086126144,2019-2023,45.73761,-68.05742,Transitioning LS,Transitioning LS,,2
509642087126144,2019-2023,45.86039,-68.10142,Not LSOG,Not LSOG,,1
509642088126144,2019-2023,45.81336,-68.16958,Not LSOG,Not LSOG,,1
509642089126144,2019-2023,45.73563,-68.22397,Not LSOG,Not LSOG,,1
509642090126144,2019-2023,45.84593,-68.3317,Not LSOG,Not LSOG,,1
509642091126144,2019-2023,45.672,-68.2683,Not LSOG,Not LSOG,,1
509642092126144,2019-2023,45.60044,-68.18605,Transitioning LS,Transitioning LS,,1
509642093126144,2019-2023,45.52283,-68.23083,Transitioning LS,Not LSOG,,1
509642094126144,2019-2023,45.59761,-68.3375,Not LSOG,Not LSOG,,2
509642095126144,2019-2023,45.54666,-68.39389,Not LSOG,Not LSOG,,
509642096126144,2019-2023,45.63625,-68.52776,Not LSOG,Not LSOG,,
509642097126144,2019-2023,45.47432,-68.47343,Not LSOG,Not LSOG,,
509642098126144,2019-2023,45.37931,-68.39461,Not LSOG,Not LSOG,,
509642099126144,2019-2023,45.31279,-68.43383,Not LSOG,Not LSOG,,
509642101126144,2019-2023,45.33956,-68.58089,OG,LS,,
509642102126144,2019-2023,45.50029,-68.6491,Not LSOG,Not LSOG,,
509642103126144,2019-2023,45.27968,-68.65479,Not LSOG,Not LSOG,,
509642104126144,2019-2023,45.17267,-68.5063,Not LSOG,Not LSOG,,
509642106126144,2019-2023,45.19268,-68.71502,Not LSOG,Not LSOG,,
509642107126144,2019-2023,45.20345,-68.75708,Not LSOG,Not LSOG,,
509642108126144,2019-2023,45.20788,-68.90967,Not LSOG,Not LSOG,,1
509642109126144,2019-2023,45.06078,-68.83787,Not LSOG,Not LSOG,,
509642110126144,2019-2023,44.8836,-68.88773,Not LSOG,Not LSOG,,
509642113126144,2019-2023,44.92017,-68.94388,Not LSOG,Not LSOG,,
509642115126144,2019-2023,44.84323,-69.01446,Not LSOG,Not LSOG,,
509642116126144,2019-2023,44.82038,-68.9504,Not LSOG,Not LSOG,,
509642118126144,2019-2023,44.77345,-69.04898,Not LSOG,Not LSOG,,
509642119126144,2019-2023,44.65971,-69.12684,Not LSOG,Not LSOG,,
509642120126144,2019-2023,44.80449,-69.2259,Not LSOG,Not LSOG,,
509642121126144,2019-2023,44.64059,-69.1839,Not LSOG,Not LSOG,,
509642122126144,2019-2023,44.501913,-69.149634,Not LSOG,Not LSOG,,
509642123126144,2019-2023,44.46481,-69.15438,Not LSOG,Not LSOG,,
509642124126144,2019-2023,44.61915,-69.23531,Not LSOG,Not LSOG,,
509642125126144,2019-2023,44.55956,-69.2493,Not LSOG,Not LSOG,,
509642126126144,2019-2023,44.49353,-69.30602,Not LSOG,Not LSOG,,
509642128126144,2019-2023,44.44746,-69.41475,Transitioning LS,Transitioning LS,,
509642129126144,2019-2023,44.33104,-69.23332,Transitioning LS,Transitioning LS,,
509642130126144,2019-2023,44.27866,-69.28741,Not LSOG,Not LSOG,,
509642131126144,2019-2023,44.38044,-69.36018,Transitioning LS,Not LSOG,,
509642132126144,2019-2023,44.2769,-69.471,Not LSOG,Not LSOG,,
509642133126144,2019-2023,44.37813,-69.59376,Not LSOG,Not LSOG,,
509642135126144,2019-2023,44.11048,-69.42583,Not LSOG,Not LSOG,,
509642136126144,2019-2023,44.05184,-69.46112,Not LSOG,Not LSOG,,
509642137126144,2019-2023,44.1483,-69.59167,Not LSOG,Not LSOG,,
509642138126144,2019-2023,44.07762,-69.64104,Not LSOG,Not LSOG,,
509642139126144,2019-2023,44.13854,-69.69594,Not LSOG,Not LSOG,,
509642140126144,2019-2023,43.99969,-69.69451,Transitioning LS,Not LSOG,,
509642141126144,2019-2023,44.02442,-69.63737,Transitioning LS,Transitioning LS,,
509642143126144,2019-2023,43.93328,-69.76058,Not LSOG,Not LSOG,,
509642144126144,2019-2023,43.8629,-69.78851,Not LSOG,Not LSOG,,
509642145126144,2019-2023,43.9567,-69.94797,Not LSOG,Not LSOG,,
509642146126144,2019-2023,43.74487,-69.86716,LS,Transitioning LS,,
509642148126144,2019-2023,46.70617,-67.78951,Not LSOG,Not LSOG,,
509642149126144,2019-2023,46.63095,-67.83811,Not LSOG,Not LSOG,,
509642150126144,2019-2023,46.55121,-67.79527,Not LSOG,Not LSOG,,
509642153126144,2019-2023,46.21535,-67.98039,Not LSOG,Not LSOG,,1
509642154126144,2019-2023,46.48788,-67.9661,Not LSOG,Not LSOG,,1
509642155126144,2019-2023,46.36405,-67.86238,Not LSOG,Not LSOG,,
509642156126144,2019-2023,46.35211,-68.12046,Not LSOG,Not LSOG,,1
509642157126144,2019-2023,46.1907,-68.04927,Not LSOG,Not LSOG,,
509642158126144,2019-2023,46.12074,-68.11501,Not LSOG,Not LSOG,,
509642159126144,2019-2023,46.26756,-68.33864,Not LSOG,Not LSOG,,1
509642160126144,2019-2023,46.14429,-68.16435,Not LSOG,Not LSOG,,
509642161126144,2019-2023,46.07938,-68.2316,Not LSOG,Not LSOG,,
509642162126144,2019-2023,45.98693,-68.22394,Transitioning LS,Not LSOG,,
509642163126144,2019-2023,45.72868,-68.41295,Not LSOG,Not LSOG,,1
509642164126144,2019-2023,46.01262,-68.4113,Not LSOG,Not LSOG,,
509642165126144,2019-2023,45.93035,-68.46755,Not LSOG,Not LSOG,,
509642166126144,2019-2023,45.77291,-68.41086,Transitioning LS,Transitioning LS,,1
509642167126144,2019-2023,45.70065,-68.46628,Not LSOG,Not LSOG,,2
509642168126144,2019-2023,45.86837,-68.52064,Not LSOG,Not LSOG,,
509642169126144,2019-2023,45.79375,-68.59949,Not LSOG,Not LSOG,,2
509642170126144,2019-2023,45.74006,-68.65342,Not LSOG,Not LSOG,,1
509642171126144,2019-2023,45.73062,-68.53447,Not LSOG,Not LSOG,,
509642172126144,2019-2023,45.56521,-68.58842,Not LSOG,Not LSOG,,1
509642173126144,2019-2023,45.45256,-68.71903,Not LSOG,Not LSOG,,
